effect,group,term,estimate,std.error,statistic,Species,t_value,Model_type,Marginal_R2,Conditional_R2,p.value
fixed,NA,(Intercept),39.830134583028325,31.85383719827807,1.2504030310414669,Eugorgia rubens,1.2504030310414669,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_giantkelp_density_m2,1.107748331667513,9.012141397842594,0.12291732705533177,Eugorgia rubens,0.12291732705533177,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_sst_C,-14.460695300995331,11.485120190254431,-1.259080885654622,Eugorgia rubens,-1.259080885654622,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_chl_mg_m3,-20.43413613160651,11.506779715203233,-1.7758344764876384,Eugorgia rubens,-1.7758344764876384,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_CCA_cover,8.284723814995168,8.697302620546013,0.9525624410749842,Eugorgia rubens,0.9525624410749842,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_Relief_index,4.0532393972341865,11.259528793071524,0.35998303940821397,Eugorgia rubens,0.35998303940821397,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_Relief_SD,-16.105442075307145,11.017719727139568,-1.4617763452119015,Eugorgia rubens,-1.4617763452119015,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_Substrate_index,12.519107048962306,10.671203454156414,1.1731673098300959,Eugorgia rubens,1.1731673098300959,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_Substrate_SD,21.81423451048813,10.044105538538416,2.1718444142973894,Eugorgia rubens,2.1718444142973894,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,dist_200m_bath,0.2639391682913128,13.457532472685092,0.019612746157368237,Eugorgia rubens,0.019612746157368237,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,mean_surveydepth,-4.151634512988828,8.899203271033395,-0.4665175506780767,Eugorgia rubens,-0.4665175506780767,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,Reef_TypeNatural Reef,-29.412715227427938,31.105239941072224,-0.945587151333643,Eugorgia rubens,-0.945587151333643,LMM,0.062291619365905215,0.19583730971898988,NA
fixed,NA,exposure_index_scaled,1.1061388095820262,43.10258818970576,0.025662932460427203,Eugorgia rubens,0.025662932460427203,LMM,0.062291619365905215,0.19583730971898988,NA
ran_pars,Site,sd__(Intercept),40.47484909375931,NA,NA,Eugorgia rubens,NA,LMM,0.062291619365905215,0.19583730971898988,NA
ran_pars,Residual,sd__Observation,99.32126890816424,NA,NA,Eugorgia rubens,NA,LMM,0.062291619365905215,0.19583730971898988,NA
NA,NA,(Intercept),2.966050601062287,3.491306609883196,0.8495531709148622,Leptogorgia chilensis,0.8495531709148622,LM,0.2063852520000755,NA,0.3962106788484282
NA,NA,mean_giantkelp_density_m2,-0.7002727752358628,0.8888854845606357,-0.7878098893492432,Leptogorgia chilensis,-0.7878098893492432,LM,0.2063852520000755,NA,0.4313928996067521
NA,NA,mean_sst_C,-1.6731105624172549,0.9671530969105623,-1.7299335211372189,Leptogorgia chilensis,-1.7299335211372189,LM,0.2063852520000755,NA,0.08460937507529896
NA,NA,mean_chl_mg_m3,0.5288586827526759,1.267295518062484,0.41731283289096305,Leptogorgia chilensis,0.41731283289096305,LM,0.2063852520000755,NA,0.6767303154560782
NA,NA,mean_CCA_cover,-0.4460215219032657,1.0101814366555975,-0.44152615136139,Leptogorgia chilensis,-0.44152615136139,LM,0.2063852520000755,NA,0.6591312643092926
NA,NA,mean_Relief_index,0.2465867350309411,1.356109408008954,0.1818339534956703,Leptogorgia chilensis,0.1818339534956703,LM,0.2063852520000755,NA,0.8558285256466756
NA,NA,mean_Relief_SD,1.7689112528592466,1.3441206328316817,1.3160360831100786,Leptogorgia chilensis,1.3160360831100786,LM,0.2063852520000755,NA,0.18910683431225536
NA,NA,mean_Substrate_index,0.37552348590963164,1.3382460394929157,0.28060870335317706,Leptogorgia chilensis,0.28060870335317706,LM,0.2063852520000755,NA,0.7791924378866285
NA,NA,mean_Substrate_SD,2.4662781923830317,1.2790071209945384,1.9282755755615244,Leptogorgia chilensis,1.9282755755615244,LM,0.2063852520000755,NA,0.05470813092306857
NA,NA,dist_200m_bath,1.8805848406784909,1.1909082341485564,1.5791181778359447,Leptogorgia chilensis,1.5791181778359447,LM,0.2063852520000755,NA,0.1152999985326794
NA,NA,mean_surveydepth,5.900769901458154,1.1186979119082334,5.274676781502916,Leptogorgia chilensis,5.274676781502916,LM,0.2063852520000755,NA,2.4591981384815207e-7
NA,NA,Reef_TypeNatural Reef,7.700457243011574,3.515638220462196,2.190344045696262,Leptogorgia chilensis,2.190344045696262,LM,0.2063852520000755,NA,0.029222813129618396
NA,NA,exposure_index_scaled,-11.572487782952628,4.7086922823703405,-2.4576861448943688,Leptogorgia chilensis,-2.4576861448943688,LM,0.2063852520000755,NA,0.01451509575321064
fixed,NA,(Intercept),35.80807790128479,11.310958349294847,3.1657863812677864,Muricea californica,3.1657863812677864,LMM,0.37737208933237737,0.7246352821094011,NA
