Site,Reef_Type,Latitude,Longitude,depth
120 Reef,Natural Reef,33.737790000000004,-118.392305,7.5
3 Palms East,Natural Reef,33.7168475,-118.3326175,12.5
3 Palms West,Natural Reef,33.7185275,-118.335335,12.5
ANACAPA_EAST_FISH_CAMP_CEN,Natural Reef,34.001583,-119.398067,13.25
ANACAPA_EAST_FISH_CAMP_E,Natural Reef,34.0045,-119.385783,12.166666666666666
ANACAPA_EAST_FISH_CAMP_W,Natural Reef,34.003083,-119.404167,9.93095238095238
ANACAPA_EAST_ISLE_CEN,Natural Reef,34.017667,-119.363683,10.241666666666665
ANACAPA_EAST_ISLE_E,Natural Reef,34.017033,-119.361133,9.7355
ANACAPA_EAST_ISLE_W,Natural Reef,34.015867,-119.371733,6.25
ANACAPA_LIGHTHOUSE_REEF_CEN,Natural Reef,34.012783,-119.363133,9.266466346153846
ANACAPA_LIGHTHOUSE_REEF_E,Natural Reef,34.0139,-119.36,8.24
ANACAPA_LIGHTHOUSE_REEF_W,Natural Reef,34.010783000000004,-119.3725,8.928472222222222
ANACAPA_MIDDLE_ISLE_CEN,Natural Reef,34.0100609,-119.3877751,12.382772727272727
ANACAPA_MIDDLE_ISLE_E,Natural Reef,34.0085,-119.388167,9.466666666666667
ANACAPA_MIDDLE_ISLE_W,Natural Reef,34.007833,-119.394467,7.205555555555556
ANACAPA_WEST_ISLE_CEN,Natural Reef,34.016983,-119.432917,12.275982142857142
ANACAPA_WEST_ISLE_E,Natural Reef,34.016083,-119.421833,8.881142857142857
ANACAPA_WEST_ISLE_W,Natural Reef,34.017417,-119.438067,15.044657051282051
ARROYO_QUEMADO_E,Natural Reef,34.466283,-120.116967,10.941239316239315
ARROYO_QUEMADO_W,Natural Reef,34.46835,-120.125183,10.108333333333334
Abalone Cove Kelp West,Natural Reef,33.738569999999996,-118.38730666666667,10
Albondigas,Natural Reef,33.750296666666664,-118.41626666666667,9.333333333333332
Bunker Point,Natural Reef,33.7249075,-118.3537625,12
Burial Grounds,Natural Reef,33.7238925,-118.34768,12.25
Cairns,Natural Reef,33.71041733333333,-118.30747066666667,10
Cape Point,Natural Reef,33.7207215,-118.34046525,12.75
Children's Pool,Natural Reef,32.85214666666666,-117.27887,10
Christmas Tree Cove,Natural Reef,33.761626666666665,-118.42183333333334,9.666666666666668
Crystal Cove,Natural Reef,33.56395,-117.83607333333333,10.666666666666668
Dana Point,Natural Reef,33.46631,-117.72175333333333,10.333333333333332
Escondido West,Natural Reef,34.0212175,-118.7734165,7.5
Flat Rock North,Natural Reef,33.80147066666667,-118.40738733333333,10
Flat Rock South,Natural Reef,33.79598033333333,-118.41364833333334,10.333333333333332
Golden Cove,Natural Reef,33.75277,-118.41493,4
HORSESHOE_REEF_E,Natural Reef,34.38945,-119.544767,8.41504884004884
HORSESHOE_REEF_W,Natural Reef,34.391733,-119.5577,10.48679131054131
Hawthorne Reef,Natural Reef,33.7470125,-118.4174525,13.25
Heisler Park,Natural Reef,33.54058,-117.79209666666667,10
Hermosa Beach AR - Giants,Artificial Reef,33.853633,-118.412946,18
Honeymoon Cove,Natural Reef,33.764213999999996,-118.42529275,12.75
IV_REEF_E,Natural Reef,34.40295,-119.864517,10.876904761904761
IV_REEF_W,Natural Reef,34.404733,-119.876283,10.359487179487179
KOU Rock,Natural Reef,33.7200725,-118.33944,13.25
Laguna Beach,Natural Reef,33.53096333333333,-117.78024333333333,10.666666666666668
Lechuza,Natural Reef,34.032624999999996,-118.8628395,8
Leucadia,Natural Reef,33.06438,-117.31063333333333,10.333333333333334
Little Dume West,Natural Reef,34.00488,-118.78989766666666,9
Long Point East,Natural Reef,33.73528,-118.40163749999999,13.25
Long Point West,Natural Reef,33.737269999999995,-118.40332000000001,7.5
Lunada Bay,Natural Reef,33.77106175,-118.43168874999999,12.75
Marguerite Central,Natural Reef,33.7566785,-118.418335,7.5
Marguerite East,Natural Reef,33.755539999999996,-118.417085,7.5
Marguerite West,Natural Reef,33.757963333333336,-118.41917666666666,9.666666666666668
Marina del Rey AR - F,Artificial Reef,33.9675965,-118.4866655,19
Marina del Rey AR - I,Artificial Reef,33.968562500000004,-118.485777,19
Marina del Rey AR - K,Artificial Reef,33.9689735,-118.487437,19
Matlahuayl,Natural Reef,32.852715,-117.27037999999999,8
NAPLES_CEN,Natural Reef,34.42185,-119.9515,12.499107142857142
NAPLES_E,Natural Reef,34.423333,-119.951017,13.527708333333333
NAPLES_W,Natural Reef,34.424633,-119.955317,12.364144522144523
Nicholas Canyon West,Natural Reef,34.04052333333333,-118.92273,10.333333333333332
Old 18th,Natural Reef,33.72253,-118.34414,12.25
Old Marineland,Natural Reef,33.73738,-118.39501,4
PVR 2A,Artificial Reef,33.7234,-118.34996,17
PVR 2B,Artificial Reef,33.72278,-118.34978,18
PVR 2C,Artificial Reef,33.72254,-118.3491,18
PVR 4B,Artificial Reef,33.72156,-118.3467833,19
PVR 4C,Artificial Reef,33.7211,-118.3467384,20
PVR 4D,Artificial Reef,33.72197,-118.3472053,18
PVR 5A,Artificial Reef,33.72157,-118.34582,17
PVR 5B,Artificial Reef,33.72099,-118.3454,19
PVR 5C,Artificial Reef,33.72046,-118.34526,20
PVR 6A,Artificial Reef,33.72102,-118.34388,17
PVR 6C,Artificial Reef,33.71998,-118.34387,20
PVR 6D,Artificial Reef,33.72051,-118.34391,19
PVR 7A,Artificial Reef,33.7204,-118.3424,17
PVR 7B,Artificial Reef,33.72019,-118.34245,19
PVR 7C,Artificial Reef,33.71962,-118.34231,21
PVR 8A,Artificial Reef,33.7193,-118.34009,18
PVR 8B,Artificial Reef,33.71884,-118.34057,20
PVR 8C,Artificial Reef,33.71836,-118.34039,21
Point Dume,Natural Reef,33.998553333333334,-118.8071013,9.666666666666668
Point Fermin,Natural Reef,33.70562666666667,-118.29799,10
Point Loma Central,Natural Reef,32.709845,-117.267065,13.5
Point Vicente West,Natural Reef,33.73983,-118.413795,13.25
