Site,Latitude,Longitude,nearest_buoy,nearest_buoy_nm,dist_to_buoy_km,mean_fetch_km,max_fetch_km,weighted_fetch_km,wave_energy_kW_m,exposure_index_scaled
120 Reef,33.73779,-118.39231,46025,Santa Monica Basin,60.507244809099554,108.21283839535819,500,93.28250097184657,0.27703172773141815,0.2415945775303431
3 Palms East,33.71685,-118.33262,46025,Santa Monica Basin,66.151372282552515,118.65470047355346,500,150.02226138281787,0.3611691413558366,0.38854623837612906
3 Palms West,33.71853,-118.33534,46025,Santa Monica Basin,65.88748821656404,115.48766936405305,500,145.9452923249455,0.3439005895969467,0.3779871988255254
ANACAPA_EAST_FISH_CAMP_CEN,34.00158,-119.39807,46025,Santa Monica Basin,42.603302053333714,203.08653190754976,500,154.42043645027456,0.4624035079109686,0.3999371770436867
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.38578,46025,Santa Monica Basin,41.95046675724968,203.5014230721305,500,152.4214416656429,0.46669158260442845,0.3947599327004609
ANACAPA_EAST_FISH_CAMP_W,34.00308,-119.40417,46025,Santa Monica Basin,43.143226975266195,203.011425940363,500,154.2454263132855,0.4621163115484583,0.39948391410938605
ANACAPA_EAST_ISLE_CEN,34.01767,-119.36368,46025,Santa Monica Basin,41.44828415526407,0,0,0,0,0
ANACAPA_EAST_ISLE_E,34.01703,-119.36113,46025,Santa Monica Basin,41.230840955264654,0,0,0,0,0
ANACAPA_EAST_ISLE_W,34.01587,-119.37173,46025,Santa Monica Basin,41.84311744799022,0,0,0,0,0
ANACAPA_LIGHTHOUSE_REEF_CEN,34.01278,-119.36313,46025,Santa Monica Basin,41.0329127832351,202.47825976856222,500,151.97731949158643,0.4636846945913586,0.3936096900730102
ANACAPA_LIGHTHOUSE_REEF_E,34.0139,-119.36,46025,Santa Monica Basin,40.91270073984512,203.80676102065334,500,152.94704361971904,0.4711624425876162,0.3961212017565133
ANACAPA_LIGHTHOUSE_REEF_W,34.01078,-119.3725,46025,Santa Monica Basin,41.507311241652985,202.708361352085,500,182.76547605995864,0.46479836918915873,0.4733486722141394
ANACAPA_MIDDLE_ISLE_CEN,34.01006,-119.38778,46025,Santa Monica Basin,42.496978371593556,0,0,0,0,0
ANACAPA_MIDDLE_ISLE_E,34.0085,-119.38817,46025,Santa Monica Basin,42.40919747198681,0,0,0,0,0
ANACAPA_MIDDLE_ISLE_W,34.00783,-119.39447,46025,Santa Monica Basin,42.798605550042986,0,0,0,0,0
ANACAPA_WEST_ISLE_CEN,34.01698,-119.43292,46053,East Santa Barbara,44.95160783827777,46.829216883772126,500,73.86136312826083,0.17580717140970764,0.19129530871147052
ANACAPA_WEST_ISLE_E,34.01608,-119.42183,46025,Santa Monica Basin,45.31931445364248,0,0,0,0,0
ANACAPA_WEST_ISLE_W,34.01742,-119.43807,46053,East Santa Barbara,44.5292284075598,47.04669667429623,500,73.97741792563177,0.1766407878521211,0.1915958818034126
ARROYO_QUEMADO_E,34.46628,-120.11697,46053,East Santa Barbara,35.756017328549035,82.88600650436099,500,154.4825099048701,0.28843829107724184,0.40009794256650844
ARROYO_QUEMADO_W,34.46835,-120.12518,46053,East Santa Barbara,36.45830007862313,82.80378293717285,500,153.9646605928927,0.28786006222867994,0.398756752263417
